Standardized_name,YPD,LET,Flor,LD,IG,PSH,PA,Missing,MissingCollection
APC,1,2.333333333,0.666666667,1,0.316156947,4.7795975,15.71409709,,
,,,,,,,,,
APD,1.666666667,3,0,2,0.597199491,9.189903,3.468862292,,
,,,,,,,,,
APE,1,1.333333333,2,1,0.157221502,0,6.08701393,,
,,,,,,,,,
APF,1,2,0.333333333,1,2.873860294,7.3027315,1.535900556,,
,,,,,,,,,
APG,1,1,2.666666667,1,0.173541519,0,6.321383772,,
,,,,,,,,,
APH,1,1,0,1,0.364445181,8.37671,0.456007319,,
,,,,,,,,,
APK,1,1,0,1,0.107490255,0,0.311707174,,
,,,,,,,,,
APL,1,1,0,1,1.356782732,0,0.778089013,,
,,,,,,,,,
APM,1,1,0,1,0.608792177,17.38665667,1.544860368,,
,,,,,,,,,
APN,1,2,0,2,0.036446816,0,0.178724689,,
,,,,,,,,,
APP,1,1,0,1,0.031162233,0,0.644634958,,
,,,,,,,,,
APQ,1,1.333333333,0,1,0.989745164,28.5315583,1.877788152,,
,,,,,,,,,
APR,1,1,0,1,1.660744813,25.72287767,0.669628121,,
,,,,,,,,,
APS,1,1.333333333,0,1,0.028371865,0,0.97897745,,
,,,,,,,,,
APT,1,1.666666667,0,1.666666667,77.94549426,49.93011589,1.179865886,,
,,,,,,,,,
AQA,1,1,0,1,1.162380555,0,0.258891435,,
,,,,,,,,,
AQB,1,1,2.333333333,1,0.016269852,0,30.94200643,,
,,,,,,,,,
AQC,1,1,2.333333333,1,0.130109074,0,10.60653218,,
,,,,,,,,,
AQD,1,2,0,1.5,0.021200365,0,1.66416735,,
,,,,,,,,,
AQG,1,1,1,1,15.85901433,11.29754052,6.476058437,,
,,,,,,,,,
AQH,1,1,0,1,14.62509978,28.93135,2.01501476,,
,,,,,,,,,
AQI,1,1.666666667,0,1,0.043590185,2.915937682,1.512322101,,
,,,,,,,,,
AQM,1,2,0,1.333333333,74.54287351,18.84791149,33.49696781,,
,,,,,,,,,
AQP,1.666666667,0.333333333,2,1,0.024631152,0,4.644484056,,
,,,,,,,,,
AQQ,1,1.666666667,2.333333333,1,0.119927454,0,2.903450943,,
,,,,,,,,,
AQR,1,3,0.666666667,3,75.25192338,47.47529025,3.837157759,,
,,,,,,,,,
AQS,1,2,0,1.333333333,0.768087581,0,1.074705977,,
,,,,,,,,,
AQT,1,1,0.666666667,1,0.022152397,0,6.598666403,,
,,,,,,,,,
ARA,1.333333333,1,0,1.333333333,9.647925093,44.15622667,1.261918909,,
,,,,,,,,,
ARB,2,5,0,3,61.24187132,58.31371569,2.639372247,,
,,,,,,,,,
ARE,1,1,0,1,0.02988561,0,0.809212574,,
,,,,,,,,,
ARG,1,0,0,1,0.161017052,10.83232007,0.729517396,,
,,,,,,,,,
ARH,1,3,0,3,12.26360603,15.14429146,7.746937159,,
,,,,,,,,,
ARI,2,2,0,3.333333333,73.1051271,17.53720566,6.910845146,,
,,,,,,,,,
ARK,1,1,0,1,37.00799172,26.48930148,0.597949618,,
,,,,,,,,,
ARL,2,2,0,1.333333333,0.141070141,0,0.734704656,,
,,,,,,,,,
ARM,3,5,0,3,14.94415175,22.87306961,3.023229494,,
,,,,,,,,,
ARN,1,1,0,1,0.046042582,0,0.252289468,,
,,,,,,,,,
ARP,1,1,0,1,0.134145934,0,1.214761999,,
,,,,,,,,,
ARQ,2,3,0,1,23.0455929,13.99684683,1.464222052,,
,,,,,,,,,
ARR,1,1,0,1,34.48534619,11.38196232,0.815342972,,
,,,,,,,,,
ARS,1.333333333,2,0.666666667,1.666666667,87.4958942,2.972802024,65.81831386,,
,,,,,,,,,
ART,1,2,1,1.333333333,0.010738687,0,29.05525847,,
,,,,,,,,,
ARV,3,3,0,2,87.31171506,21.40976245,0.838449858,,
,,,,,,,,,
ASA,1,1,1.666666667,1,0.139409263,0,7.738448915,,
,,,,,,,,,
ASB,1,0,0,1,0.033392949,0,0.482415188,,
,,,,,,,,,
ASC,1,1,1.666666667,1.333333333,1.617983741,0,5.237246414,,
,,,,,,,,,
ASE,1,1,0,1,0.176870562,0,1.401031793,,
,,,,,,,,,
ASG,1,0,0,1,0.01251674,0,0.759226249,,
,,,,,,,,,
ASH,1,1,0,1,0.065503991,0,1.072348131,,
,,,,,,,,,
ASL,1,1,0,1,0.00248682,0,1.332182705,,
,,,,,,,,,
ASM,1,1,0,1.666666667,0.022408457,0,0.130153071,,
,,,,,,,,,
ASN,1,1,1.666666667,1,83.55464722,74.00213788,4.448311311,,
,,,,,,,,,
ASP,1,1.666666667,0,1.333333333,0.057111229,0,1.302002282,,
,,,,,,,,,
ASR,1.333333333,1.666666667,0.333333333,2,0.390973623,10.00186263,3.784813589,,
,,,,,,,,,
ASS,1,1.666666667,0,2,39.53826653,13.4091777,5.573475181,,
,,,,,,,,,
AST,1,1,0,1,48.37246805,31.04931593,0.8530685,,
,,,,,,,,,
ASV,1,1,0,1,1.491599614,16.79639169,0.587575097,,
,,,,,,,,,
ATA,1,1.666666667,3,1,0.724120644,17.21538117,13.29589075,,
,,,,,,,,,
ATB,1,1,0,1,0.41767313,28.07457333,0.598421187,,
,,,,,,,,,
ATC,2,2,0,2,29.43618047,27.0960394,2.479038754,,
,,,,,,,,,
ATD,3.666666667,5,0,4,0.359688393,3.453888383,1.374152355,,
,,,,,,,,,
ATE,1,1,0,1,0.020599952,6.281733813,1.075177546,,
,,,,,,,,,
ATH,1,1,4,1,0.024248837,0,12.11979741,,
,,,,,,,,,
ATM,1,1.333333333,0,1.333333333,0.110091699,0,2.530439785,,
,,,,,,,,,
ATN,1,3,0.666666667,1.333333333,82.69326395,30.80592008,2.982674551,,
,,,,,,,,,
ATP,1,1,0,1,26.07931205,52.23249247,1.966443143,,
,,,,,,,,,
ATR,2,1.333333333,0,2,0.148253809,3.79944851,0.278225768,,
,,,,,,,,,
ATS,1,1.666666667,0,1,0.746191095,0,0.783276273,,
,,,,,,,,,
ATV,2,1,0,1,2.437100429,27.6288,2.854879325,,
,,,,,,,,,
AVB,2,1,0,1.333333333,0,47.90904339,1.330296428,,
,,,,,,,,,
AVC,1,1,0.666666667,1,0.123568018,12.94577709,2.058870686,,
